Farm ID;Nivel riesgo deforestación desde oficina;Fase resultado
10205_A;Riesgo despreciable desde oficina;Fase 2
10226_D;Riesgo despreciable desde oficina;Fase 2
10237;Riesgo despreciable desde oficina;Fase 2
10389_A;Riesgo despreciable desde oficina;Fase 2
10406;Riesgo despreciable desde oficina;Fase 2
10647_C;Riesgo despreciable desde oficina;Fase 2
10717;Riesgo despreciable desde oficina;Fase 2
10772_I;Riesgo despreciable desde oficina;Fase 2
10779;Riesgo despreciable desde oficina;Fase 2
10783_B;Riesgo despreciable desde oficina;Fase 2
10812_A;Riesgo despreciable desde oficina;Fase 2
10881_C;Riesgo despreciable desde oficina;Fase 2
10881_E;Riesgo despreciable desde oficina;Fase 2
10979_B;Riesgo despreciable desde oficina;Fase 2
10992_A;Riesgo despreciable desde oficina;Fase 2
11014;Riesgo despreciable desde oficina;Fase 2
11131;Riesgo despreciable desde oficina;Fase 2
11157_C-11151_C;Riesgo despreciable desde oficina;Fase 2
11173_C;Riesgo despreciable desde oficina;Fase 2
11178_B;Riesgo despreciable desde oficina;Fase 2
11190_B;Riesgo despreciable desde oficina;Fase 2
11255;Riesgo no despreciable desde oficina;Fase 3
11272;Riesgo despreciable desde oficina;Fase 2
11309_B;Riesgo despreciable desde oficina;Fase 2
11377_A;Riesgo despreciable desde oficina;Fase 2
11422_C - 10785_C;Riesgo despreciable desde oficina;Fase 2
11427_A;Riesgo despreciable desde oficina;Fase 2
11431_D;Riesgo despreciable desde oficina;Fase 2
11577_A;Riesgo despreciable desde oficina;Fase 2
11645;Riesgo no despreciable desde oficina;Fase 3
11703_C;Riesgo despreciable desde oficina;Fase 2
11779_B;Riesgo despreciable desde oficina;Fase 2
11786_C;Riesgo despreciable desde oficina;Fase 2
11808;Riesgo no despreciable desde oficina;Fase 3
11929;Riesgo despreciable desde oficina;Fase 2
11955_E;Riesgo despreciable desde oficina;Fase 2
12017_B;Riesgo despreciable desde oficina;Fase 2
12156_B;Riesgo despreciable desde oficina;Fase 2
12668_A;Riesgo despreciable desde oficina;Fase 2
12692_B;Riesgo despreciable desde oficina;Fase 2
12700_B;Riesgo despreciable desde oficina;Fase 2
12970_C;Riesgo despreciable desde oficina;Fase 2
13081_A;Riesgo despreciable desde oficina;Fase 2
13081_C;Riesgo despreciable desde oficina;Fase 2
13117_A;Riesgo despreciable desde oficina;Fase 2
13340_B;Riesgo despreciable desde oficina;Fase 2
13340_C;Riesgo despreciable desde oficina;Fase 2
13340_D;Riesgo despreciable desde oficina;Fase 2
13340_E;Riesgo despreciable desde oficina;Fase 2
1649_B;Riesgo despreciable desde oficina;Fase 2
1907_B;Riesgo despreciable desde oficina;Fase 2
2016_A;Riesgo despreciable desde oficina;Fase 2
2099_A;Riesgo despreciable desde oficina;Fase 2
2126_C;Riesgo no despreciable desde oficina;Fase 3
