Num_int;farm_id;Tecnico;map_date;Region;Nom_pol;area_pol;latitud;longitud
8161;8161_A;;XXXX;XXXX;XXXXX;4,8322980;XXXX;XXXX
8536;8536_A;;XXXX;XXXX;XXXXX;11,1202540;XXXX;XXXX
8536;8536_B;;XXXX;XXXX;XXXXX;9,8416730;XXXX;XXXX
9767;9767_G;;XXXX;XXXX;XXXXX;10,8230760;XXXX;XXXX
9767;9767_F;;XXXX;XXXX;XXXXX;3,7753020;XXXX;XXXX
9767;9767_H;;XXXX;XXXX;XXXXX;5,3487040;XXXX;XXXX
9763;9763;;XXXX;XXXX;XXXXX;6,2069480;XXXX;XXXX
8092;8092;;XXXX;XXXX;XXXXX;6,6820200;XXXX;XXXX
8118;8118_C;;XXXX;XXXX;XXXXX;0,5688140;XXXX;XXXX
8118;8118_B;;XXXX;XXXX;XXXXX;3,7251750;XXXX;XXXX
8118;8118_A;;XXXX;XXXX;XXXXX;2,2777280;XXXX;XXXX
8121;8121_E;;XXXX;XXXX;XXXXX;17,3678600;XXXX;XXXX
8121;8121_D;;XXXX;XXXX;XXXXX;2,5374420;XXXX;XXXX
8121;8121_C;;XXXX;XXXX;XXXXX;5,7329080;XXXX;XXXX
8121;8121_A;;XXXX;XXXX;XXXXX;7,9864950;XXXX;XXXX
8121;8121_B;;XXXX;XXXX;XXXXX;6,1016300;XXXX;XXXX
9767;9767_E;;XXXX;XXXX;XXXXX;1,4814470;XXXX;XXXX
9767;9767_D;;XXXX;XXXX;XXXXX;6,9605720;XXXX;XXXX
9767;9767_C;;XXXX;XXXX;XXXXX;12,6893800;XXXX;XXXX
9767;9767_B;;XXXX;XXXX;XXXXX;4,7997800;XXXX;XXXX
9767;9767_A;;XXXX;XXXX;XXXXX;9,9920050;XXXX;XXXX
8167;8167_B;;XXXX;XXXX;XXXXX;6,2847780;XXXX;XXXX
8167;8167_A;;XXXX;XXXX;XXXXX;2,3717840;XXXX;XXXX
9626;9626_C;;XXXX;XXXX;XXXXX;0,9612340;XXXX;XXXX
9626;9626_B;;XXXX;XXXX;XXXXX;1,3657310;XXXX;XXXX
9626;9626_A;;XXXX;XXXX;XXXXX;3,2853710;XXXX;XXXX
9296;9296;;XXXX;XXXX;XXXXX;4,7983210;XXXX;XXXX
9122;9122;;XXXX;XXXX;XXXXX;3,9629410;XXXX;XXXX
9119;9119_B;;XXXX;XXXX;XXXXX;6,0221020;XXXX;XXXX
9119;9119_A;;XXXX;XXXX;XXXXX;4,9533830;XXXX;XXXX
9118;9118;;XXXX;XXXX;XXXXX;5,9994980;XXXX;XXXX
9117;9117;;XXXX;XXXX;XXXXX;1,9287390;XXXX;XXXX
12777;12777;;XXXX;XXXX;XXXXX;14,1386490;XXXX;XXXX
12776;12776_A;;XXXX;XXXX;XXXXX;0,4381200;XXXX;XXXX
10605;10605;;XXXX;XXXX;XXXXX;6,6733700;XXXX;XXXX
12920;12920;;XXXX;XXXX;XXXXX;6,6093530;XXXX;XXXX
12776;12776_C;;XXXX;XXXX;XXXXX;3,5840210;XXXX;XXXX
12917;12917_A;;XXXX;XXXX;XXXXX;0,7825970;XXXX;XXXX
12917;12917_B;;XXXX;XXXX;XXXXX;8,2728320;XXXX;XXXX
12776;12776_B;;XXXX;XXXX;XXXXX;0,9386560;XXXX;XXXX
12919;12919;;XXXX;XXXX;XXXXX;5,9768190;XXXX;XXXX
12921;12921;;XXXX;XXXX;XXXXX;7,0987890;XXXX;XXXX
9533;9533_B;;XXXX;XXXX;XXXXX;1,1997950;XXXX;XXXX
9353;9353_A;;XXXX;XXXX;XXXXX;0,9477530;XXXX;XXXX
9353;9353_B;;XXXX;XXXX;XXXXX;3,9919600;XXXX;XXXX
9337;9337_A;;XXXX;XXXX;XXXXX;3,6997390;XXXX;XXXX
9337;9337_B;;XXXX;XXXX;XXXXX;0,4387400;XXXX;XXXX
9337;9337_C;;XXXX;XXXX;XXXXX;0,1586240;XXXX;XXXX
9323;9323_A;;XXXX;XXXX;XXXXX;3,0685490;XXXX;XXXX
9323;9323_B;;XXXX;XXXX;XXXXX;1,2433650;XXXX;XXXX
9309;9309_A;;XXXX;XXXX;XXXXX;4,7444470;XXXX;XXXX
9309;9309_B;;XXXX;XXXX;XXXXX;0,2971830;XXXX;XXXX
9279;9279_A;;XXXX;XXXX;XXXXX;0,2882680;XXXX;XXXX
9279;9279_B;;XXXX;XXXX;XXXXX;0,8992940;XXXX;XXXX
9279;9279_C;;XXXX;XXXX;XXXXX;0,7669020;XXXX;XXXX
9279;9279_D;;XXXX;XXXX;XXXXX;0,8153980;XXXX;XXXX
9279;9279_E;;XXXX;XXXX;XXXXX;1,3432960;XXXX;XXXX
9269;9269_A;;XXXX;XXXX;XXXXX;5,2399680;XXXX;XXXX
9269;9269_B;;XXXX;XXXX;XXXXX;0,7866670;XXXX;XXXX
9262;9262;;XXXX;XXXX;XXXXX;9,5616810;XXXX;XXXX
9238;9238;;XXXX;XXXX;XXXXX;4,1893010;XXXX;XXXX
9192;9192;;XXXX;XXXX;XXXXX;3,3511310;XXXX;XXXX
9191;9191;;XXXX;XXXX;XXXXX;3,9996090;XXXX;XXXX
9190;9190_A;;XXXX;XXXX;XXXXX;3,0368630;XXXX;XXXX
9190;9190_B;;XXXX;XXXX;XXXXX;0,9483400;XXXX;XXXX
9178;9178;;XXXX;XXXX;XXXXX;4,3708630;XXXX;XXXX
9113;9113_A;;XXXX;XXXX;XXXXX;0,5795130;XXXX;XXXX
9113;9113_B;;XXXX;XXXX;XXXXX;2,0094700;XXXX;XXXX
9113;9113_C;;XXXX;XXXX;XXXXX;0,3901140;XXXX;XXXX
9113;9113_D;;XXXX;XXXX;XXXXX;1,0693820;XXXX;XXXX
9113;9113_E;;XXXX;XXXX;XXXXX;0,3819980;XXXX;XXXX
9960;9960;;XXXX;XXXX;XXXXX;23,2999620;XXXX;XXXX
10511;10511;;XXXX;XXXX;XXXXX;44,5029440;XXXX;XXXX
12905;12905;;XXXX;XXXX;XXXXX;4,0946170;XXXX;XXXX
12892;12892_D;;XXXX;XXXX;XXXXX;2,1365460;XXXX;XXXX
12892;12892_A;;XXXX;XXXX;XXXXX;0,4466900;XXXX;XXXX
12892;12892_B;;XXXX;XXXX;XXXXX;1,3536230;XXXX;XXXX
12892;12892_C;;XXXX;XXXX;XXXXX;3,3167070;XXXX;XXXX
9176;9176_A;;XXXX;XXXX;XXXXX;1,4388210;XXXX;XXXX
9127;9127_A;;XXXX;XXXX;XXXXX;0,3015800;XXXX;XXXX
9127;9127_B;;XXXX;XXXX;XXXXX;0,1462920;XXXX;XXXX
9127;9127_C;;XXXX;XXXX;XXXXX;0,4507070;XXXX;XXXX
9176;9176_B;;XXXX;XXXX;XXXXX;0,9038440;XXXX;XXXX
12388;12388_A;;XXXX;XXXX;XXXXX;4,0970540;XXXX;XXXX
12388;12388_B;;XXXX;XXXX;XXXXX;0,9927570;XXXX;XXXX
12182;12182;;XXXX;XXXX;XXXXX;2,7208110;XXXX;XXXX
12025;12025_B;;XXXX;XXXX;XXXXX;3,8689060;XXXX;XXXX
12023;12023_B;;XXXX;XXXX;XXXXX;0,9092590;XXXX;XXXX
12023;12023_A;;XXXX;XXXX;XXXXX;3,4383090;XXXX;XXXX
